,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
213532,22380,"Flagstaff, AZ",4,AZ,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,61700,0,1000,1,,,24.96,51910,0.5,13.85,15.21,18.72,28.68,43.03,28800,31640,38940,59650,89510,,
213533,22420,"Flint, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,129540,0,1000,1,,,25.56,53160,0.7,12.24,14.39,19.09,30.34,41.45,25450,29930,39710,63110,86210,,
213534,22500,"Florence, SC",4,SC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,86500,0,1000,1,,,23.08,48010,0.5,10.28,13.1,17.49,27.24,39.92,21370,27240,36380,56660,83030,,
213535,22520,"Florence-Muscle Shoals, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,53600,0,1000,1,,,21.22,44140,0.6,9.92,12.65,17.25,24.68,35.62,20630,26310,35880,51340,74090,,
213536,22540,"Fond du Lac, WI",4,WI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,44990,0.1,1000,1,,,26.06,54200,0.9,12.43,16.37,22.5,29.76,40.98,25860,34050,46800,61900,85250,,
213537,22660,"Fort Collins, CO",4,CO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,169440,0,1000,1,,,30.62,63700,0.6,14.33,17.21,23.45,36.53,52.49,29800,35790,48770,75970,109180,,
213538,22900,"Fort Smith, AR-OK",4,AR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,105250,0,1000,1,,,21.15,43990,0.4,11.27,13.06,16.98,24.24,34.94,23450,27170,35320,50420,72680,,
213539,23060,"Fort Wayne, IN",4,IN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,217750,0,1000,1,,,25.16,52330,0.3,11.85,14.75,19.78,29.64,39.56,24650,30670,41140,61660,82280,,
213540,23420,"Fresno, CA",4,CA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,397960,0,1000,1,,,27.28,56730,0.5,14.29,15.52,19.59,30.77,48.74,29710,32280,40740,63990,101380,,
213541,23460,"Gadsden, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,32190,0.1,1000,1,,,19.65,40870,0.7,9.32,11.65,15.21,23.04,32.48,19380,24230,31630,47920,67550,,
213542,23540,"Gainesville, FL",4,FL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,137310,0,1000,1,,,25.88,53840,0.6,11.78,14.39,20.53,29.84,45.56,24490,29940,42700,62070,94770,,
213543,23580,"Gainesville, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,94280,0,1000,1,,,24.45,50860,0.5,11.32,14.4,18.38,28.19,40.15,23540,29950,38230,58640,83520,,
213544,23900,"Gettysburg, PA",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,32330,0.1,1000,1,,,24.12,50170,0.5,11.16,14.49,19.45,28.08,39.68,23220,30130,40450,58410,82530,,
213545,24020,"Glens Falls, NY",4,NY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,48980,0.1,1000,1,,,26.31,54720,0.7,13.77,15.55,21.04,30.11,43.1,28630,32350,43770,62630,89650,,
213546,24140,"Goldsboro, NC",4,NC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,39490,0,1000,1,,,21.44,44590,0.4,10.34,13.02,17.31,24.22,36.53,21510,27090,36000,50380,75980,,
213547,24220,"Grand Forks, ND-MN",4,ND,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,48990,0.1,1000,1,,,25.83,53730,0.4,13.16,16.01,21.69,29.95,40.47,27370,33300,45110,62300,84170,,
213548,24260,"Grand Island, NE",4,NE,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,41370,0,1000,1,,,24.33,50600,0.5,12.5,15.04,20.09,27.59,39.33,26000,31280,41800,57390,81800,,
213549,24300,"Grand Junction, CO",4,CO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,64380,0,1000,1,,,26.77,55680,0.6,13.68,15.45,20.74,30.05,44.73,28460,32140,43140,62500,93030,,
213550,24340,"Grand Rapids-Wyoming, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,549710,0,1000,1,,,26.4,54900,0.3,13.07,15.39,20.54,30.38,44.78,27180,32020,42730,63190,93130,,
213551,24420,"Grants Pass, OR",4,OR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,29080,0.1,1000,1,,,24.75,51480,0.8,13.93,16.24,19.41,27.07,40.85,28970,33790,40380,56310,84970,,
213552,24500,"Great Falls, MT",4,MT,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,35500,0.1,1000,1,,,22.86,47540,0.8,11.18,13.92,18.33,27.64,38.22,23250,28960,38120,57500,79510,,
